"age" "job" "marital" "education" "default" "housing" "contact" "day_of_week" "duration" "campaign" "pdays" "previous" "poutcome" "y"
"22198" 30 "technician" "single" "professional.course" "no" "yes" "cellular" "thu" 151 1 999 0 "nonexistent" "no"
"35128" 45 "retired" "married" "basic.6y" "unknown" "no" "cellular" "fri" 102 1 999 1 "failure" "no"
"38033" 91 "retired" "married" "university.degree" "no" "no" "cellular" "wed" 223 2 999 0 "nonexistent" "no"
"5356" 48 "blue-collar" "married" "high.school" "no" "no" "telephone" "fri" 34 3 999 0 "nonexistent" "no"
"27747" 33 "management" "married" "university.degree" "no" "yes" "telephone" "thu" 181 1 999 0 "nonexistent" "yes"
"12600" 46 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "mon" 190 1 999 0 "nonexistent" "no"
"1146" 58 "admin." "divorced" "university.degree" "no" "yes" "telephone" "wed" 365 4 999 0 "nonexistent" "no"
"11682" 53 "services" "married" "basic.9y" "unknown" "yes" "telephone" "fri" 9 4 999 0 "nonexistent" "no"
"39529" 24 "student" "single" "basic.9y" "no" "yes" "cellular" "tue" 252 1 999 1 "failure" "no"
"34988" 44 "management" "married" "university.degree" "no" "yes" "cellular" "fri" 217 1 999 1 "failure" "no"
"38265" 55 "technician" "married" "professional.course" "no" "yes" "cellular" "tue" 182 1 999 0 "nonexistent" "no"
"11362" 46 "admin." "divorced" "university.degree" "no" "yes" "telephone" "thu" 138 9 999 0 "nonexistent" "no"
"25324" 40 "blue-collar" "single" "high.school" "no" "yes" "cellular" "tue" 139 2 999 0 "nonexistent" "no"
"16094" 30 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "tue" 189 1 999 0 "nonexistent" "no"
"4492" 45 "blue-collar" "married" "basic.4y" "unknown" "no" "telephone" "tue" 97 8 999 0 "nonexistent" "no"
"5543" 42 "admin." "divorced" "university.degree" "no" "yes" "telephone" "mon" 130 1 999 0 "nonexistent" "no"
"35187" 21 "student" "single" "high.school" "no" "no" "cellular" "fri" 42 4 999 0 "nonexistent" "no"
"15100" 31 "admin." "single" "university.degree" "no" "yes" "cellular" "thu" 120 3 999 0 "nonexistent" "no"
"28223" 38 "services" "divorced" "high.school" "unknown" "yes" "cellular" "tue" 620 1 2 1 "success" "no"
"24532" 48 "entrepreneur" "married" "university.degree" "unknown" "yes" "cellular" "mon" 50 1 999 1 "failure" "no"
"32799" 36 "admin." "single" "university.degree" "no" "yes" "cellular" "mon" 85 1 999 1 "failure" "no"
"37552" 61 "management" "married" "university.degree" "no" "yes" "cellular" "fri" 209 2 4 2 "success" "yes"
"23987" 58 "retired" "married" "basic.4y" "no" "yes" "cellular" "fri" 68 3 999 0 "nonexistent" "no"
"34951" 41 "blue-collar" "single" "basic.9y" "no" "no" "cellular" "fri" 195 1 999 0 "nonexistent" "no"
"24999" 35 "admin." "divorced" "university.degree" "no" "no" "cellular" "tue" 35 1 999 0 "nonexistent" "no"
"35803" 41 "management" "married" "high.school" "no" "no" "cellular" "mon" 236 2 999 0 "nonexistent" "no"
"39177" 66 "retired" "divorced" "basic.4y" "no" "yes" "cellular" "thu" 141 4 999 2 "failure" "no"
"10183" 30 "entrepreneur" "married" "university.degree" "unknown" "yes" "telephone" "thu" 204 3 999 0 "nonexistent" "no"
"20986" 59 "retired" "married" "basic.4y" "no" "yes" "cellular" "thu" 265 1 999 0 "nonexistent" "no"
"12419" 57 "management" "divorced" "university.degree" "unknown" "no" "cellular" "mon" 200 1 999 0 "nonexistent" "no"
"2789" 29 "services" "married" "high.school" "unknown" "unknown" "telephone" "wed" 159 1 999 0 "nonexistent" "no"
"31291" 37 "services" "single" "high.school" "no" "no" "cellular" "wed" 150 1 999 0 "nonexistent" "no"
"1000" 30 "services" "married" "unknown" "no" "no" "telephone" "wed" 143 3 999 0 "nonexistent" "no"
"6431" 42 "technician" "single" "high.school" "unknown" "yes" "telephone" "wed" 617 1 999 0 "nonexistent" "no"
"39580" 43 "technician" "single" "professional.course" "no" "no" "cellular" "tue" 164 2 3 2 "success" "yes"
"35119" 44 "entrepreneur" "single" "university.degree" "no" "yes" "cellular" "fri" 210 2 999 0 "nonexistent" "no"
"4591" 29 "admin." "single" "high.school" "no" "no" "telephone" "tue" 110 2 999 0 "nonexistent" "no"
"11542" 35 "blue-collar" "married" "basic.9y" "unknown" "yes" "telephone" "fri" 288 2 999 0 "nonexistent" "no"
"21092" 36 "technician" "married" "professional.course" "no" "yes" "cellular" "thu" 45 3 999 0 "nonexistent" "no"
"35671" 53 "management" "divorced" "professional.course" "no" "yes" "cellular" "mon" 82 4 999 0 "nonexistent" "no"
"8877" 42 "housemaid" "divorced" "basic.4y" "unknown" "yes" "telephone" "thu" 150 2 999 0 "nonexistent" "no"
"3122" 33 "admin." "married" "university.degree" "no" "yes" "telephone" "thu" 139 2 999 0 "nonexistent" "no"
"35106" 32 "blue-collar" "married" "basic.4y" "no" "no" "cellular" "fri" 265 7 999 0 "nonexistent" "no"
"17020" 34 "technician" "divorced" "university.degree" "no" "no" "cellular" "thu" 91 10 999 0 "nonexistent" "no"
"8494" 42 "technician" "single" "high.school" "no" "yes" "telephone" "wed" 457 1 999 0 "nonexistent" "no"
"34759" 23 "technician" "single" "high.school" "no" "yes" "cellular" "thu" 240 3 999 0 "nonexistent" "no"
"1625" 59 "management" "married" "university.degree" "no" "no" "telephone" "fri" 659 2 999 0 "nonexistent" "no"
"2247" 31 "blue-collar" "married" "basic.9y" "no" "yes" "telephone" "mon" 181 4 999 0 "nonexistent" "no"
"17592" 38 "student" "single" "unknown" "unknown" "no" "cellular" "mon" 91 3 999 0 "nonexistent" "no"
"7227" 59 "admin." "married" "high.school" "no" "yes" "telephone" "thu" 76 4 999 0 "nonexistent" "no"
"19894" 37 "technician" "married" "professional.course" "no" "yes" "cellular" "fri" 73 4 999 0 "nonexistent" "no"
"14672" 34 "technician" "divorced" "professional.course" "no" "no" "cellular" "tue" 323 3 999 0 "nonexistent" "no"
"14201" 29 "management" "single" "university.degree" "no" "yes" "cellular" "mon" 138 3 999 0 "nonexistent" "no"
"23136" 48 "technician" "married" "university.degree" "no" "no" "cellular" "tue" 124 2 999 0 "nonexistent" "no"
"11657" 37 "admin." "married" "basic.6y" "no" "no" "telephone" "fri" 126 14 999 0 "nonexistent" "no"
"27423" 40 "management" "married" "university.degree" "no" "yes" "cellular" "fri" 106 2 999 0 "nonexistent" "no"
"15733" 27 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "mon" 99 1 999 0 "nonexistent" "no"
"34405" 36 "blue-collar" "single" "basic.4y" "no" "yes" "cellular" "thu" 279 1 999 1 "failure" "no"
"30295" 69 "retired" "married" "university.degree" "no" "yes" "cellular" "thu" 616 1 999 0 "nonexistent" "yes"
"38977" 60 "retired" "married" "university.degree" "no" "no" "cellular" "fri" 439 3 6 2 "success" "yes"
"13193" 59 "blue-collar" "divorced" "basic.9y" "no" "no" "cellular" "wed" 92 1 999 0 "nonexistent" "no"
"26926" 42 "technician" "married" "university.degree" "no" "no" "telephone" "thu" 172 2 999 0 "nonexistent" "no"
"1541" 49 "admin." "married" "university.degree" "no" "yes" "telephone" "thu" 123 2 999 0 "nonexistent" "no"
"23285" 46 "admin." "married" "university.degree" "unknown" "no" "telephone" "wed" 39 5 999 0 "nonexistent" "no"
"4664" 33 "blue-collar" "married" "basic.4y" "unknown" "yes" "telephone" "wed" 207 2 999 0 "nonexistent" "no"
"29717" 33 "technician" "divorced" "professional.course" "no" "yes" "cellular" "mon" 153 1 999 1 "failure" "no"
"39545" 29 "services" "single" "unknown" "no" "yes" "cellular" "thu" 226 2 999 0 "nonexistent" "yes"
"27481" 45 "technician" "married" "professional.course" "no" "yes" "cellular" "fri" 52 2 999 0 "nonexistent" "no"
"7447" 40 "admin." "married" "high.school" "no" "no" "telephone" "fri" 171 1 999 0 "nonexistent" "no"
"23294" 34 "admin." "married" "university.degree" "no" "yes" "cellular" "wed" 147 3 999 0 "nonexistent" "no"
"30479" 28 "blue-collar" "married" "basic.6y" "unknown" "no" "cellular" "mon" 364 2 999 0 "nonexistent" "no"
"33918" 34 "services" "married" "university.degree" "no" "yes" "cellular" "wed" 253 1 999 0 "nonexistent" "no"
"14295" 30 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "mon" 245 2 999 0 "nonexistent" "no"
"3032" 51 "blue-collar" "divorced" "basic.9y" "unknown" "no" "telephone" "wed" 256 2 999 0 "nonexistent" "no"
"2122" 32 "management" "married" "high.school" "no" "yes" "telephone" "mon" 132 1 999 0 "nonexistent" "no"
"16776" 35 "management" "single" "university.degree" "unknown" "yes" "cellular" "thu" 211 1 999 0 "nonexistent" "no"
"8484" 57 "admin." "divorced" "unknown" "unknown" "no" "telephone" "tue" 28 19 999 0 "nonexistent" "no"
"24451" 38 "entrepreneur" "married" "high.school" "no" "yes" "cellular" "mon" 63 2 999 0 "nonexistent" "no"
"6052" 45 "admin." "married" "basic.6y" "no" "yes" "telephone" "tue" 25 1 999 0 "nonexistent" "no"
"33156" 59 "services" "divorced" "basic.6y" "no" "yes" "cellular" "tue" 158 1 999 1 "failure" "no"
"31023" 41 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "tue" 320 1 999 0 "nonexistent" "no"
"28144" 46 "self-employed" "single" "university.degree" "unknown" "no" "cellular" "mon" 438 1 999 0 "nonexistent" "no"
"26534" 30 "services" "married" "high.school" "no" "yes" "cellular" "thu" 80 1 999 0 "nonexistent" "no"
"16771" 43 "admin." "single" "high.school" "no" "yes" "cellular" "thu" 66 1 999 0 "nonexistent" "no"
"40478" 71 "admin." "married" "basic.4y" "no" "yes" "cellular" "thu" 192 1 999 2 "failure" "no"
"35825" 53 "blue-collar" "married" "professional.course" "no" "no" "cellular" "mon" 28 6 999 0 "nonexistent" "no"
"32139" 34 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "fri" 763 1 999 0 "nonexistent" "yes"
"16280" 27 "blue-collar" "single" "unknown" "no" "unknown" "cellular" "tue" 81 4 999 0 "nonexistent" "no"
"7" 59 "admin." "married" "professional.course" "no" "no" "telephone" "mon" 139 1 999 0 "nonexistent" "no"
"36501" 29 "technician" "single" "university.degree" "no" "yes" "cellular" "wed" 138 1 999 0 "nonexistent" "no"
"31111" 35 "admin." "married" "university.degree" "no" "yes" "cellular" "wed" 376 2 999 1 "failure" "no"
"30075" 28 "blue-collar" "single" "basic.9y" "no" "yes" "cellular" "fri" 65 2 999 0 "nonexistent" "no"
"24515" 32 "services" "married" "basic.4y" "no" "no" "cellular" "mon" 161 1 999 0 "nonexistent" "no"
"15263" 25 "services" "single" "basic.6y" "unknown" "yes" "cellular" "thu" 301 1 999 0 "nonexistent" "no"
"31532" 28 "services" "married" "basic.9y" "unknown" "yes" "cellular" "thu" 343 3 999 0 "nonexistent" "no"
"22467" 59 "retired" "married" "unknown" "no" "yes" "cellular" "fri" 73 1 999 0 "nonexistent" "no"
"23858" 33 "admin." "married" "university.degree" "unknown" "no" "cellular" "fri" 96 1 999 0 "nonexistent" "no"
"1905" 46 "blue-collar" "married" "basic.9y" "no" "yes" "telephone" "fri" 128 3 999 0 "nonexistent" "no"
"9520" 31 "blue-collar" "single" "unknown" "no" "yes" "telephone" "mon" 400 1 999 0 "nonexistent" "no"
"19739" 39 "management" "married" "high.school" "no" "no" "cellular" "fri" 215 3 999 0 "nonexistent" "no"
"8780" 30 "blue-collar" "single" "unknown" "no" "yes" "telephone" "thu" 400 1 999 0 "nonexistent" "no"
"29522" 34 "admin." "married" "basic.9y" "no" "yes" "cellular" "mon" 317 1 999 0 "nonexistent" "no"
"20113" 55 "services" "married" "high.school" "unknown" "no" "cellular" "mon" 123 1 999 0 "nonexistent" "no"
"11827" 36 "blue-collar" "single" "high.school" "no" "yes" "telephone" "fri" 14 4 999 0 "nonexistent" "no"
"2220" 44 "blue-collar" "married" "high.school" "unknown" "yes" "telephone" "mon" 73 3 999 0 "nonexistent" "no"
"14645" 33 "services" "married" "high.school" "no" "no" "cellular" "tue" 85 8 999 0 "nonexistent" "no"
"24272" 37 "entrepreneur" "married" "university.degree" "no" "yes" "cellular" "mon" 96 1 999 0 "nonexistent" "no"
"35439" 36 "admin." "married" "high.school" "unknown" "no" "cellular" "mon" 899 3 999 0 "nonexistent" "yes"
"7444" 35 "blue-collar" "divorced" "basic.9y" "no" "yes" "telephone" "fri" 461 1 999 0 "nonexistent" "no"
"10370" 24 "unemployed" "married" "university.degree" "no" "yes" "telephone" "mon" 266 1 999 0 "nonexistent" "no"
"35030" 35 "admin." "single" "high.school" "no" "yes" "cellular" "fri" 7 5 999 0 "nonexistent" "no"
"36490" 36 "admin." "married" "university.degree" "no" "no" "cellular" "wed" 334 1 999 0 "nonexistent" "no"
"21827" 42 "admin." "single" "high.school" "no" "yes" "cellular" "wed" 138 1 999 0 "nonexistent" "no"
"19744" 51 "blue-collar" "married" "basic.4y" "unknown" "yes" "cellular" "fri" 174 1 999 0 "nonexistent" "no"
"13092" 52 "admin." "divorced" "university.degree" "unknown" "no" "cellular" "tue" 210 2 999 0 "nonexistent" "no"
"35762" 33 "technician" "married" "professional.course" "no" "yes" "cellular" "mon" 6 2 999 0 "nonexistent" "no"
"17434" 55 "admin." "married" "university.degree" "no" "no" "cellular" "mon" 73 4 999 0 "nonexistent" "no"
"22498" 38 "self-employed" "married" "basic.9y" "unknown" "no" "cellular" "fri" 1329 1 999 0 "nonexistent" "yes"
"23018" 56 "services" "married" "high.school" "no" "yes" "cellular" "tue" 170 2 999 0 "nonexistent" "no"
"6143" 57 "management" "divorced" "university.degree" "no" "no" "telephone" "tue" 35 1 999 0 "nonexistent" "no"
"23009" 60 "management" "married" "university.degree" "unknown" "yes" "cellular" "tue" 66 14 999 0 "nonexistent" "no"
"19740" 47 "technician" "married" "high.school" "unknown" "yes" "cellular" "fri" 152 5 999 0 "nonexistent" "no"
"11717" 31 "technician" "married" "professional.course" "no" "no" "telephone" "fri" 809 6 999 0 "nonexistent" "yes"
"16064" 44 "blue-collar" "married" "professional.course" "unknown" "no" "cellular" "tue" 407 4 999 0 "nonexistent" "no"
"3984" 52 "management" "divorced" "high.school" "no" "unknown" "telephone" "mon" 259 3 999 0 "nonexistent" "no"
"13874" 29 "admin." "single" "high.school" "no" "yes" "cellular" "fri" 151 2 999 0 "nonexistent" "no"
"23651" 32 "technician" "single" "university.degree" "no" "no" "cellular" "thu" 83 3 999 0 "nonexistent" "no"
"15893" 26 "services" "single" "high.school" "no" "yes" "cellular" "mon" 509 1 999 0 "nonexistent" "no"
"12725" 33 "technician" "married" "professional.course" "no" "yes" "telephone" "mon" 9 17 999 0 "nonexistent" "no"
"27676" 41 "blue-collar" "single" "basic.9y" "unknown" "no" "cellular" "fri" 643 3 999 0 "nonexistent" "no"
"34006" 34 "blue-collar" "married" "basic.6y" "no" "no" "cellular" "wed" 281 1 999 0 "nonexistent" "no"
"17878" 34 "admin." "single" "university.degree" "unknown" "no" "telephone" "tue" 143 5 999 0 "nonexistent" "no"
"14168" 26 "admin." "single" "high.school" "no" "no" "cellular" "mon" 226 4 999 0 "nonexistent" "no"
"214" 57 "retired" "married" "unknown" "unknown" "no" "telephone" "mon" 611 2 999 0 "nonexistent" "no"
"60" 25 "technician" "single" "university.degree" "no" "yes" "telephone" "mon" 174 1 999 0 "nonexistent" "no"
"34478" 27 "technician" "single" "high.school" "no" "no" "cellular" "thu" 215 1 999 0 "nonexistent" "no"
"19458" 32 "technician" "single" "university.degree" "no" "no" "cellular" "thu" 64 1 999 0 "nonexistent" "no"
"39283" 48 "unemployed" "married" "university.degree" "no" "yes" "cellular" "mon" 195 2 999 0 "nonexistent" "no"
"32447" 36 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "fri" 207 2 999 0 "nonexistent" "no"
"35446" 31 "technician" "single" "high.school" "unknown" "yes" "cellular" "mon" 17 6 999 0 "nonexistent" "no"
"36903" 58 "retired" "married" "professional.course" "no" "yes" "telephone" "mon" 100 2 999 0 "nonexistent" "no"
"23227" 45 "services" "married" "basic.6y" "unknown" "no" "cellular" "tue" 98 5 999 0 "nonexistent" "no"
"7300" 51 "blue-collar" "divorced" "basic.4y" "no" "yes" "telephone" "thu" 660 2 999 0 "nonexistent" "no"
"23334" 51 "technician" "married" "high.school" "no" "yes" "cellular" "wed" 549 2 999 0 "nonexistent" "no"
"23671" 35 "technician" "single" "university.degree" "no" "no" "cellular" "thu" 104 1 999 0 "nonexistent" "no"
"15643" 40 "management" "married" "university.degree" "no" "yes" "cellular" "mon" 638 3 999 0 "nonexistent" "yes"
"20603" 57 "self-employed" "married" "basic.9y" "no" "no" "cellular" "wed" 139 1 999 0 "nonexistent" "no"
"5528" 42 "entrepreneur" "married" "basic.6y" "no" "no" "telephone" "mon" 204 1 999 0 "nonexistent" "no"
"17265" 60 "technician" "married" "high.school" "no" "no" "cellular" "fri" 590 8 999 0 "nonexistent" "yes"
"13977" 51 "entrepreneur" "divorced" "high.school" "no" "no" "cellular" "fri" 347 2 999 0 "nonexistent" "no"
"23210" 42 "technician" "divorced" "professional.course" "no" "yes" "cellular" "tue" 265 11 999 0 "nonexistent" "no"
"22149" 29 "admin." "single" "university.degree" "no" "no" "cellular" "thu" 139 1 999 0 "nonexistent" "no"
"32489" 42 "management" "divorced" "high.school" "no" "no" "cellular" "fri" 13 2 999 1 "failure" "no"
"30342" 32 "self-employed" "single" "university.degree" "no" "yes" "cellular" "thu" 441 2 999 0 "nonexistent" "no"
"15921" 22 "blue-collar" "single" "unknown" "unknown" "unknown" "cellular" "mon" 47 2 999 0 "nonexistent" "no"
"39002" 73 "retired" "married" "basic.4y" "no" "no" "cellular" "mon" 245 5 999 0 "nonexistent" "no"
"28785" 48 "services" "divorced" "high.school" "unknown" "no" "cellular" "thu" 235 2 999 1 "failure" "no"
"18164" 35 "services" "married" "high.school" "no" "yes" "cellular" "wed" 436 2 999 0 "nonexistent" "no"
"35443" 38 "admin." "single" "university.degree" "no" "no" "cellular" "mon" 114 4 999 0 "nonexistent" "no"
"26016" 42 "technician" "married" "basic.9y" "no" "no" "cellular" "wed" 294 2 999 0 "nonexistent" "no"
"32472" 33 "technician" "married" "professional.course" "no" "no" "cellular" "fri" 40 6 999 1 "failure" "no"
"17929" 60 "retired" "married" "basic.6y" "unknown" "yes" "cellular" "tue" 122 13 999 0 "nonexistent" "no"
"35531" 41 "admin." "divorced" "high.school" "no" "yes" "cellular" "mon" 63 5 999 0 "nonexistent" "no"
"18815" 36 "admin." "single" "university.degree" "no" "no" "cellular" "thu" 35 11 999 0 "nonexistent" "no"
"28983" 42 "admin." "married" "high.school" "no" "yes" "cellular" "fri" 88 1 999 0 "nonexistent" "no"
"22351" 55 "blue-collar" "married" "basic.9y" "no" "yes" "cellular" "thu" 142 3 999 0 "nonexistent" "no"
"11748" 37 "technician" "married" "university.degree" "no" "no" "telephone" "fri" 23 2 999 0 "nonexistent" "no"
"19980" 58 "self-employed" "married" "university.degree" "no" "no" "cellular" "fri" 1242 3 999 0 "nonexistent" "yes"
"21044" 35 "self-employed" "married" "university.degree" "no" "yes" "cellular" "thu" 884 2 999 0 "nonexistent" "yes"
"32758" 34 "management" "married" "basic.9y" "no" "no" "cellular" "mon" 131 2 999 0 "nonexistent" "no"
"21272" 50 "blue-collar" "married" "basic.9y" "no" "no" "cellular" "mon" 66 2 999 0 "nonexistent" "no"
"40061" 75 "retired" "married" "university.degree" "no" "yes" "cellular" "thu" 229 1 999 2 "failure" "yes"
"31669" 57 "retired" "married" "basic.6y" "no" "no" "cellular" "thu" 93 1 999 1 "failure" "no"
"20535" 41 "technician" "married" "professional.course" "no" "yes" "cellular" "tue" 127 1 999 0 "nonexistent" "no"
"9679" 43 "management" "married" "basic.4y" "no" "yes" "telephone" "mon" 318 2 999 0 "nonexistent" "no"
"25555" 38 "management" "married" "university.degree" "no" "yes" "cellular" "wed" 64 1 999 1 "failure" "no"
"6726" 49 "blue-collar" "married" "basic.4y" "unknown" "no" "telephone" "wed" 344 1 999 0 "nonexistent" "no"
"3539" 32 "services" "married" "high.school" "no" "no" "telephone" "fri" 206 4 999 0 "nonexistent" "no"
"16175" 35 "blue-collar" "divorced" "unknown" "no" "yes" "cellular" "tue" 1029 3 999 0 "nonexistent" "no"
"28804" 24 "management" "single" "university.degree" "no" "no" "cellular" "thu" 640 2 999 0 "nonexistent" "no"
"6202" 50 "services" "married" "basic.6y" "no" "no" "telephone" "tue" 377 1 999 0 "nonexistent" "no"
"22252" 29 "admin." "single" "university.degree" "no" "no" "cellular" "thu" 12 15 999 0 "nonexistent" "no"
"20920" 34 "technician" "single" "university.degree" "no" "yes" "telephone" "thu" 313 1 999 0 "nonexistent" "no"
"27265" 37 "admin." "married" "unknown" "no" "yes" "cellular" "fri" 196 1 999 0 "nonexistent" "no"
"314" 58 "blue-collar" "married" "professional.course" "unknown" "yes" "telephone" "mon" 214 2 999 0 "nonexistent" "no"
"24324" 46 "technician" "married" "professional.course" "no" "no" "cellular" "mon" 173 1 999 0 "nonexistent" "no"
"17685" 53 "retired" "divorced" "university.degree" "no" "yes" "cellular" "tue" 62 4 999 0 "nonexistent" "no"
"38696" 29 "housemaid" "single" "university.degree" "no" "no" "telephone" "mon" 201 1 999 0 "nonexistent" "yes"
"30498" 53 "admin." "divorced" "university.degree" "no" "yes" "cellular" "mon" 367 1 999 0 "nonexistent" "yes"
"28524" 29 "admin." "single" "university.degree" "no" "yes" "telephone" "tue" 61 3 999 0 "nonexistent" "no"
"4148" 34 "blue-collar" "married" "professional.course" "no" "yes" "telephone" "mon" 210 2 999 0 "nonexistent" "no"
"5831" 32 "blue-collar" "married" "basic.9y" "no" "no" "telephone" "mon" 109 2 999 0 "nonexistent" "no"
"10035" 36 "blue-collar" "married" "basic.6y" "no" "yes" "telephone" "thu" 614 2 999 0 "nonexistent" "yes"
"8405" 43 "blue-collar" "married" "basic.4y" "unknown" "yes" "telephone" "tue" 220 3 999 0 "nonexistent" "no"
"37346" 30 "admin." "married" "university.degree" "no" "no" "cellular" "tue" 139 3 6 1 "success" "yes"
"10603" 54 "management" "married" "university.degree" "no" "yes" "telephone" "tue" 89 1 999 0 "nonexistent" "no"
"35339" 26 "entrepreneur" "married" "professional.course" "no" "no" "telephone" "fri" 75 10 999 2 "failure" "no"
"20238" 34 "technician" "single" "university.degree" "no" "no" "cellular" "mon" 262 3 999 0 "nonexistent" "no"
"7682" 30 "blue-collar" "single" "basic.6y" "no" "yes" "telephone" "fri" 72 3 999 0 "nonexistent" "no"
"18448" 50 "technician" "married" "high.school" "no" "yes" "cellular" "thu" 196 2 999 0 "nonexistent" "no"
"16431" 55 "retired" "married" "basic.4y" "no" "no" "cellular" "wed" 761 1 999 0 "nonexistent" "yes"
"702" 57 "housemaid" "married" "basic.6y" "unknown" "yes" "telephone" "tue" 121 2 999 0 "nonexistent" "no"
"20342" 37 "technician" "married" "high.school" "unknown" "no" "cellular" "tue" 204 1 999 0 "nonexistent" "no"
"14958" 24 "management" "married" "basic.9y" "no" "no" "telephone" "wed" 127 11 999 0 "nonexistent" "no"
"28721" 26 "admin." "single" "university.degree" "no" "unknown" "cellular" "thu" 176 1 999 0 "nonexistent" "no"
"8520" 39 "blue-collar" "married" "basic.9y" "no" "unknown" "telephone" "wed" 103 4 999 0 "nonexistent" "no"
"14202" 26 "blue-collar" "single" "professional.course" "no" "no" "cellular" "mon" 74 6 999 0 "nonexistent" "no"
"10034" 42 "entrepreneur" "married" "university.degree" "unknown" "yes" "telephone" "thu" 135 3 999 0 "nonexistent" "no"
"8" 41 "blue-collar" "married" "unknown" "unknown" "no" "telephone" "mon" 217 1 999 0 "nonexistent" "no"
"22561" 30 "technician" "married" "university.degree" "no" "no" "cellular" "fri" 65 2 999 0 "nonexistent" "no"
"34925" 56 "management" "married" "university.degree" "unknown" "yes" "cellular" "fri" 302 1 999 0 "nonexistent" "no"
"27285" 58 "retired" "married" "professional.course" "unknown" "no" "telephone" "fri" 28 1 999 0 "nonexistent" "no"
"10602" 39 "admin." "divorced" "high.school" "no" "no" "telephone" "tue" 139 1 999 0 "nonexistent" "no"
"21978" 55 "services" "married" "basic.4y" "no" "yes" "cellular" "wed" 173 2 999 0 "nonexistent" "no"
"4669" 49 "blue-collar" "married" "basic.9y" "unknown" "no" "telephone" "wed" 554 3 999 0 "nonexistent" "no"
"5532" 32 "blue-collar" "divorced" "basic.9y" "unknown" "yes" "telephone" "mon" 460 1 999 0 "nonexistent" "no"
"5574" 44 "technician" "married" "professional.course" "no" "no" "telephone" "mon" 754 1 999 0 "nonexistent" "no"
"4134" 46 "blue-collar" "married" "basic.4y" "no" "unknown" "telephone" "mon" 445 2 999 0 "nonexistent" "no"
"37396" 26 "student" "single" "basic.9y" "no" "no" "telephone" "wed" 449 1 999 0 "nonexistent" "yes"
"12205" 43 "technician" "single" "professional.course" "no" "no" "telephone" "wed" 44 2 999 0 "nonexistent" "no"
"18166" 34 "self-employed" "single" "university.degree" "no" "no" "cellular" "wed" 208 1 999 0 "nonexistent" "no"
"4759" 57 "retired" "married" "basic.4y" "no" "no" "telephone" "wed" 97 1 999 0 "nonexistent" "no"
"31565" 32 "admin." "married" "university.degree" "no" "yes" "cellular" "thu" 62 6 999 1 "failure" "no"
"7480" 30 "blue-collar" "married" "basic.9y" "unknown" "no" "telephone" "fri" 115 1 999 0 "nonexistent" "no"
"11412" 44 "entrepreneur" "married" "basic.9y" "no" "no" "telephone" "fri" 241 4 999 0 "nonexistent" "no"
"6489" 59 "technician" "divorced" "professional.course" "no" "no" "telephone" "wed" 209 2 999 0 "nonexistent" "no"
"5229" 42 "unemployed" "married" "basic.9y" "no" "yes" "telephone" "fri" 76 2 999 0 "nonexistent" "no"
"20035" 32 "admin." "single" "university.degree" "no" "yes" "cellular" "mon" 326 3 999 0 "nonexistent" "no"
"35080" 53 "services" "married" "university.degree" "no" "no" "telephone" "fri" 45 2 999 0 "nonexistent" "no"
"4652" 32 "blue-collar" "divorced" "basic.9y" "no" "no" "telephone" "wed" 129 1 999 0 "nonexistent" "no"
"23489" 43 "technician" "married" "university.degree" "no" "yes" "cellular" "thu" 74 4 999 0 "nonexistent" "no"
"1559" 31 "blue-collar" "single" "professional.course" "no" "no" "telephone" "thu" 99 3 999 0 "nonexistent" "no"
"15533" 44 "self-employed" "married" "high.school" "unknown" "no" "cellular" "fri" 175 11 999 0 "nonexistent" "no"
"17310" 56 "technician" "married" "unknown" "unknown" "yes" "cellular" "fri" 84 3 999 0 "nonexistent" "no"
"10153" 54 "technician" "married" "university.degree" "unknown" "no" "telephone" "thu" 322 2 999 0 "nonexistent" "no"
"35940" 54 "admin." "single" "university.degree" "no" "no" "cellular" "mon" 337 1 999 0 "nonexistent" "yes"
"25872" 31 "blue-collar" "single" "high.school" "no" "yes" "cellular" "wed" 780 1 999 0 "nonexistent" "no"
"11045" 44 "blue-collar" "married" "high.school" "unknown" "yes" "telephone" "wed" 51 4 999 0 "nonexistent" "no"
"28422" 33 "technician" "single" "university.degree" "no" "yes" "cellular" "thu" 106 2 999 0 "nonexistent" "no"
"15807" 31 "services" "single" "high.school" "no" "no" "cellular" "mon" 881 4 999 0 "nonexistent" "no"
"20146" 30 "admin." "single" "university.degree" "no" "no" "cellular" "mon" 356 1 999 0 "nonexistent" "no"
"2549" 47 "services" "divorced" "high.school" "no" "unknown" "telephone" "tue" 299 3 999 0 "nonexistent" "no"
"20991" 33 "technician" "married" "professional.course" "no" "no" "cellular" "thu" 924 2 999 0 "nonexistent" "no"
"693" 54 "retired" "married" "high.school" "no" "yes" "telephone" "tue" 234 2 999 0 "nonexistent" "no"
"24573" 30 "blue-collar" "single" "basic.9y" "no" "yes" "cellular" "mon" 563 2 999 0 "nonexistent" "no"
